time,speed,steering,x_angle,y_angle,z_angle,imu_yaw_rate
1746616035.0231013,3.3966000080108643,0.07069999724626541,-0.0059,0.0079,0.7985,0.7587
1746616035.0232046,3.3966000080108643,0.15530000627040863,-0.0059,0.0079,0.7985,0.7587
1746616035.023511,3.3966000080108643,0.15530000627040863,-0.0064,0.0151,0.8172,1.5375
1746616035.0790489,3.0713999271392822,0.15530000627040863,-0.0064,0.0151,0.8172,1.5375
1746616035.0791397,3.0713999271392822,0.23579999804496765,-0.0064,0.0151,0.8172,1.5375
1746616035.079411,3.0713999271392822,0.23579999804496765,-0.007,0.0212,0.8426,2.0028
1746616035.1271014,2.709399938583374,0.23579999804496765,-0.007,0.0212,0.8426,2.0028
1746616035.1271932,2.709399938583374,0.32190001010894775,-0.007,0.0212,0.8426,2.0028
1746616035.1274664,2.709399938583374,0.32190001010894775,-0.0086,0.0264,0.8729,2.2639
1746616035.1793528,2.385999917984009,0.32190001010894775,-0.0086,0.0264,0.8729,2.2639
1746616035.179456,2.385999917984009,0.3977000117301941,-0.0086,0.0264,0.8729,2.2639
1746616035.1797535,2.385999917984009,0.3977000117301941,-0.0111,0.0291,0.8982,2.2583
1746616035.2350922,2.037400007247925,0.3977000117301941,-0.0111,0.0291,0.8982,2.2583
1746616035.2351856,2.037400007247925,0.4812999963760376,-0.0111,0.0291,0.8982,2.2583
1746616035.23547,2.037400007247925,0.4812999963760376,-0.0146,0.0293,0.9216,2.0051
1746616035.2870495,1.6672999858856201,0.4812999963760376,-0.0146,0.0293,0.9216,2.0051
1746616035.2871058,1.6672999858856201,0.5235999822616577,-0.0146,0.0293,0.9216,2.0051
1746616035.2872896,1.6672999858856201,0.5235999822616577,-0.0181,0.0277,0.9407,1.7789
1746616035.3390996,1.3143999576568604,0.5235999822616577,-0.0181,0.0277,0.9407,1.7789
1746616035.3391905,1.3143999576568604,0.5235999822616577,-0.0181,0.0277,0.9407,1.7789
1746616035.3394742,1.3143999576568604,0.5235999822616577,-0.0209,0.026,0.9552,1.8259
1746616035.3911576,0.9976000189781189,0.5235999822616577,-0.0209,0.026,0.9552,1.8259
1746616035.3912535,0.9976000189781189,0.5235999822616577,-0.0209,0.026,0.9552,1.8259
1746616035.3915546,0.9976000189781189,0.5235999822616577,-0.0234,0.0236,0.9687,1.7416
1746616035.4430892,0.7189000248908997,0.5235999822616577,-0.0234,0.0236,0.9687,1.7416
1746616035.4431808,0.7189000248908997,0.5235999822616577,-0.0234,0.0236,0.9687,1.7416
1746616035.4434483,0.7189000248908997,0.5235999822616577,-0.0251,0.019,0.9777,1.2581
1746616035.4911973,0.4666000008583069,0.5235999822616577,-0.0251,0.019,0.9777,1.2581
1746616035.491289,0.4666000008583069,0.5235999822616577,-0.0251,0.019,0.9777,1.2581
1746616035.4915717,0.4666000008583069,0.5235999822616577,-0.026,0.015,0.9828,0.8189
1746616035.5432975,0.020099999383091927,0.5235999822616577,-0.026,0.015,0.9828,0.8189
1746616035.543391,0.020099999383091927,0.5235999822616577,-0.026,0.015,0.9828,0.8189
1746616035.5436802,0.020099999383091927,0.5235999822616577,-0.0275,0.0107,0.9854,0.0433
1746616035.5954409,0.007799999788403511,0.5235999822616577,-0.0275,0.0107,0.9854,0.0433
1746616035.5955257,0.007799999788403511,0.5235999822616577,-0.0275,0.0107,0.9854,0.0433
1746616035.595796,0.007799999788403511,0.5235999822616577,-0.0265,0.0092,0.9854,-0.0022
1746616035.6511567,0.2522999942302704,0.5235999822616577,-0.0265,0.0092,0.9854,-0.0022
1746616035.6512387,0.2522999942302704,0.5235999822616577,-0.0265,0.0092,0.9854,-0.0022
1746616035.651497,0.2522999942302704,0.5235999822616577,-0.0217,0.0085,0.9866,0.4559
1746616035.6992319,0.5159000158309937,0.5235999822616577,-0.0217,0.0085,0.9866,0.4559
1746616035.6993144,0.5159000158309937,0.5235999822616577,-0.0217,0.0085,0.9866,0.4559
1746616035.699573,0.5159000158309937,0.5235999822616577,-0.0175,0.0079,0.9895,0.912
1746616035.751172,0.753000020980835,0.5235999822616577,-0.0175,0.0079,0.9895,0.912
1746616035.7512631,0.753000020980835,0.5235999822616577,-0.0175,0.0079,0.9895,0.912
1746616035.7515583,0.753000020980835,0.5235999822616577,-0.0146,0.0078,0.9931,1.3228
1746616035.80319,0.9934999942779541,0.5235999822616577,-0.0146,0.0078,0.9931,1.3228
1746616035.8032784,0.9934999942779541,0.5235999822616577,-0.0146,0.0078,0.9931,1.3228
1746616035.8035436,0.9934999942779541,0.5235999822616577,-0.0125,0.0083,0.9968,1.7383
1746616035.855262,1.2515000104904175,0.5235999822616577,-0.0125,0.0083,0.9968,1.7383
1746616035.855348,1.2515000104904175,0.5235999822616577,-0.0125,0.0083,0.9968,1.7383
1746616035.8556232,1.2515000104904175,0.5235999822616577,-0.011,0.0095,0.9996,2.1825
1746616035.9074538,1.5245000123977661,0.5235999822616577,-0.011,0.0095,0.9996,2.1825
1746616035.907533,1.5245000123977661,0.48030000925064087,-0.011,0.0095,0.9996,2.1825
1746616035.907787,1.5245000123977661,0.48030000925064087,-0.0102,0.011,0.9991,2.4068
1746616035.959467,1.7944999933242798,0.48030000925064087,-0.0102,0.011,0.9991,2.4068
1746616035.9595485,1.7944999933242798,0.40149998664855957,-0.0102,0.011,0.9991,2.4068
1746616035.9598067,1.7944999933242798,0.40149998664855957,-0.0097,0.0118,0.9951,2.3104
1746616036.0123987,2.0566999912261963,0.40149998664855957,-0.0097,0.0118,0.9951,2.3104
1746616036.012487,2.0566999912261963,0.3237000107765198,-0.0097,0.0118,0.9951,2.3104
1746616036.012757,2.0566999912261963,0.3237000107765198,-0.0094,0.0124,0.9884,2.0988
1746616036.0643878,2.343400001525879,0.3237000107765198,-0.0094,0.0124,0.9884,2.0988
1746616036.0644755,2.343400001525879,0.2387000024318695,-0.0094,0.0124,0.9884,2.0988
1746616036.064754,2.343400001525879,0.2387000024318695,-0.0092,0.0127,0.979,1.7358
1746616036.1191947,2.2253000736236572,0.2387000024318695,-0.0092,0.0127,0.979,1.7358
1746616036.1192772,2.2253000736236572,0.15029999613761902,-0.0092,0.0127,0.979,1.7358
1746616036.1195426,2.2253000736236572,0.15029999613761902,-0.0117,0.0105,0.9702,1.021
1746616036.1712832,1.919600009918213,0.15029999613761902,-0.0117,0.0105,0.9702,1.021
1746616036.171367,1.919600009918213,0.06689999997615814,-0.0117,0.0105,0.9702,1.021
1746616036.171645,1.919600009918213,0.06689999997615814,-0.0154,0.0063,0.9656,0.3952
1746616036.2232554,1.6224000453948975,0.06689999997615814,-0.0154,0.0063,0.9656,0.3952
1746616036.223392,1.6224000453948975,0.0,-0.0154,0.0063,0.9656,0.3952
1746616036.2236671,1.6224000453948975,0.0,-0.0178,0.0025,0.9645,-0.0036
1746616036.2725523,1.3329999446868896,0.0,-0.0178,0.0025,0.9645,-0.0036
1746616036.272642,1.3329999446868896,0.0,-0.0178,0.0025,0.9645,-0.0036
1746616036.2729175,1.3329999446868896,0.0,-0.0199,0.0003,0.9645,-0.0029
1746616036.3245637,1.0305999517440796,0.0,-0.0199,0.0003,0.9645,-0.0029
1746616036.3246505,1.0305999517440796,0.01810000091791153,-0.0199,0.0003,0.9645,-0.0029
1746616036.3249383,1.0305999517440796,0.01810000091791153,-0.0216,-0.0013,0.9644,0.052
1746616036.3765376,1.0305999517440796,0.09600000083446503,-0.0216,-0.0013,0.9644,0.052
1746616036.3766875,0.7476000189781189,0.09600000083446503,-0.0216,-0.0013,0.9644,0.052
1746616036.3768015,0.7476000189781189,0.09600000083446503,-0.023,-0.0021,0.9634,0.2156
1746616036.4273958,0.4569000005722046,0.09600000083446503,-0.023,-0.0021,0.9634,0.2156
1746616036.427493,0.4569000005722046,0.17749999463558197,-0.023,-0.0021,0.9634,0.2156
1746616036.4278085,0.4569000005722046,0.17749999463558197,-0.024,-0.0031,0.9616,0.2473
1746616036.4793363,0.015699999406933784,0.17749999463558197,-0.024,-0.0031,0.9616,0.2473
1746616036.4794323,0.015699999406933784,0.25839999318122864,-0.024,-0.0031,0.9616,0.2473
1746616036.4797244,0.015699999406933784,0.25839999318122864,-0.0253,-0.0051,0.9601,-0.0001
1746616036.532613,0.006099999882280827,0.25839999318122864,-0.0253,-0.0051,0.9601,-0.0001
1746616036.5327034,0.006099999882280827,0.3391999900341034,-0.0253,-0.0051,0.9601,-0.0001
1746616036.532989,0.006099999882280827,0.3391999900341034,-0.0244,-0.0053,0.9601,-0.0008
1746616036.5846674,0.004800000227987766,0.3391999900341034,-0.0244,-0.0053,0.9601,-0.0008
1746616036.584763,0.004800000227987766,0.42480000853538513,-0.0244,-0.0053,0.9601,-0.0008
1746616036.5850506,0.004800000227987766,0.42480000853538513,-0.0222,-0.0051,0.9602,-0.0006
1746616036.6365764,0.18320000171661377,0.42480000853538513,-0.0222,-0.0051,0.9602,-0.0006
1746616036.6366315,0.18320000171661377,0.5070000290870667,-0.0222,-0.0051,0.9602,-0.0006
1746616036.6368153,0.18320000171661377,0.5070000290870667,-0.0194,-0.0038,0.9594,0.3186
1746616036.687243,0.4318999946117401,0.5070000290870667,-0.0194,-0.0038,0.9594,0.3186
1746616036.6873004,0.4318999946117401,0.5235999822616577,-0.0194,-0.0038,0.9594,0.3186
1746616036.6875012,0.4318999946117401,0.5235999822616577,-0.0164,-0.002,0.9554,0.7628
1746616036.735304,0.6743999719619751,0.5235999822616577,-0.0164,-0.002,0.9554,0.7628
1746616036.7353597,0.6743999719619751,0.5235999822616577,-0.0164,-0.002,0.9554,0.7628
1746616036.7355301,0.6743999719619751,0.5235999822616577,-0.0142,-0.0005,0.948,1.1838
1746616036.783329,0.6743999719619751,0.5235999822616577,-0.0142,-0.0005,0.948,1.1838
1746616036.7834642,0.8960000276565552,0.5235999822616577,-0.0142,-0.0005,0.948,1.1838
1746616036.7835531,0.8960000276565552,0.5235999822616577,-0.0129,0.0009,0.9374,1.5678
1746616036.8313606,0.8960000276565552,0.5235999822616577,-0.0129,0.0009,0.9374,1.5678
1746616036.831517,1.125599980354309,0.5235999822616577,-0.0129,0.0009,0.9374,1.5678
